@relation tweets

@attribute Document string
@attribute Slang {yes,no}

@data
'@hiimdominique let me check my palm pilot. LMFAO',no
'♥♥ Luke Hemmings from 5sos If you see this would you Follow me and make me The happiest girl in the world pls sunshine? @Luke5SOS ♥♥ 3832',no
'my body aches when I ain\'t with you I have zero strength',no
'Teaching the Quattro about tools. #tooltime #pamelaannderson http://t.co/Pg6WkCOXke',no
'@paulbiffwalker @Alan_Alger_ @BimboGTFC haha and will you be supporting Bristol now Luton have gone up?!',no
'It\'s hot af &amp; Ronn want go to a damn fair. 😒 she going by her damn self',no
'Great Sex Seals The Deal If You Thinking About Cuffin',no
'Enter our #giveaway for a chance to win JORD wood watch @woodwatches_com via @ThriftyJinxy http://t.co/15ojWpko2f',no
'Who has time to crop people out of pictures lol if I make a pic stitch.... I may not still be cool w/ everyone in it. 😂😂😂',yes
'Silver 2 spectating a bronze 4 friend. Daily Joke! Come enjoy the stream.  : http://t.co/IKnonHFJ7A',no
'@amwhirade ........ 😔',no
'Goooodamnnn  https://t.co/tHei5MCWzr',no
'@NHAparty not unaffordable, only massively wasteful.',no
'Photoset: consultingtimelord-atyourservice: his eyes though; he was crying http://t.co/n9eKpi6Zpr',no
'@taylorcaniff I MADLY LOVE YOU YOU\'RE THE BEST ON THE PLANET! YOUR SMILE IS AS DEAR TO ME AS THE AIR! SMILE MORE OFTEN! I LOVE YOU!',no
'#apple #may #flower #spring http://t.co/jL0ukWpcjh',no
'The only difference between @MCFC and @LFC are goals against them not win/draws/loss.. goals which are not from Suarez.. #EPL',no
'Oh my god. http://t.co/PoHEVNK4D8',no
'Sorry for all of the lag during the stream, but I thought it was pretty good. I\'ll hopefully host a UHC later tonight, so keep an eye out!',no
'Lazy Sundays are the best.',no
Bored,no
'How about you\'re a fucking cock? i\'ll fucking break your fucking face, mate!',no
'@youmeatgucci how do u know',no
'Melvin encouraged review to determine whether Pierzynski was blocking the plate.',no
'@DubaiLoren @_Badmah @mamelnady @Msgs_To_Allah @hindbintutbah @agnostic_am Alrightie now we are talking �?�?💃',no
'Im at the point in my life im planting every seed possible (investing) and watching  them grow! — feeling inspired',no
'@teamzizzou I know, right? Can\'t wait to see the reaction when I say something that\'s actually controversial.',no
'Just joined #musicforgood on @ReverbNation - now 1/2 of our song sales are donated to @lhsf http://t.co/aJwrhUpofV',no
'@greenhall96 @arobertwebb that is so good haha!',no
'@HayesGrier Please Follow Me x32',no
'That\'s how y\'all sound, you the type of people that don\'t want to look for happiness In a person, directly pointing out mistakes',no
'“@MerleneBrooke: summer ready backyard�? http://t.co/4HNoHUL5FV�? same http://t.co/fZauMqbTgP',no
'@taylorcaniff holy shit',no
'I\'m so excited about this Canadian penny 😌😌',no
'Gerry Adams release looking v scary on sky news now . So hope this hasn\'t backfired -',no
'@mitchgrassi i love you soooo much you are everything to me! You are perfect! You have the most beautiful voice!♡♡',no
'I forgot how much I love having a big bacon, eggs, and pancake breakfast at home. Reminds me of my childhood.',no
'Yep... The pool isn\'t ready to swim in unless you want to get hypothermia. �?��?⛄�?',no
'@CodySimpson  I love you too, your music is great ♥ ♫ ♪ 47',no
'@dreaming1209 Hi, we want to increase views on SHINee\'s MVs, so we made this playlist. Pls RT and help us spread!! https://t.co/gJ5TwqBfvn …',no
'@MrsPandP @onlinebeauty @lomondbeauty @namesillustrate @AlicesWedding @pearlysmith @Beautilicious40 @brideandchic @ExceptionalD Sunday waves',no
'In his day Cole was the best left back at his time anywhere easy.',no
'Who\'s getting** I should say ** #vlt',no
'@kingbizzl How long is Jerry? :D',no
'@poorolrich I promise you, it\'s the same in San Ysidro.',no
'@Ajays23 aree dnt b sad yrr strt music in mob n hav a great time ;)',no
'Let\'s go Steps Basketball !! http://t.co/xPjSU21Eg1',no
'I does forget bout him ya see.',no
'Happy birthday to the feeg @tylerlikesdimes 😀😜 http://t.co/2qEWnL6oea',no
'Good workout with my baby @Cmont95xp 💪👟�?',no
'@MLP_Magicaluna Awww it\'s gorgeous Luna',no
'Ian Somerhalder On YEARS Tonight is  trending worldwide! Somerholics rock! @iansomerhalder @YEARSofLIVING http://t.co/5pv0HekJmQ',no
'“@ScrapNumbaFoe: Girl Fights Be like , dey really scrapping 😂😂 https://t.co/W6EEZT4igk�?😂😭😂😂😫😫😫💀',no
'Someone come hang w/ me',no
'Brb walking my dog while I\'m sleepy XD.',yes
'@ViveLaFourtris k let me go kidnap him brb',yes
'Brb crying. 😭💞☺�? #goodfriendaward http://t.co/eRMGG2iSfa',yes
'@alyssam39_ ya brb on my way to your house',yes
'bout to take a nap brb😜',yes
'brb hunting the booty &lt;&lt;&gt;&gt; &lt;&lt;&gt;&gt; #bearpls',yes
'brb showering',yes
'RT @nylonmag: BRB, just listening to @LanaDelRey\'s new West Coast remix on repeat... http://t.co/bIDYL4XjCM',yes
'My mom has subs in her car, brb dead. �?��?�',yes
'brb crying https://t.co/hurwttnKN8',yes
'@shawnyybear I\'m not with any cute animals.. Maybe I can chase down a squirrel or something brb',yes
'Hey let me brb so I can talk to someone else right in front of you haha thanks.',yes
'#Brb.Gotta go steal some puppies.',yes
'Just watched, hoarding: Buried Alive. Brb, taking a shower. Appetite officially lost. #Hoarders',yes
'About to go buy Jedi robes and walk around town until I\'m eventually hazed and arrested by local authorities. #brb',yes
'this is totally how my fridge looks like. brb crying for awhile https://t.co/MTiC142OaU',yes
'Lmfao @KEEMSTARx blocked me. Brb kms. http://t.co/Tu5bQ4kW0d',yes
'@QueenAJMendez that\'s sad i\'m sorry. brb and that\'s good ur doing good',yes
'Oh my GOD. I did NOT realise that Olenna Tyrell was played by Diana Rigg! brb swooning forever',yes
'@Def_Emi14 his smile brb i need air',yes
'brb sobbing bc of nyoy volante\'s voice goODBYE',yes
'Yeah I still say brb shut up',yes
'let me go eat brb lol',yes
'@PaigesMinion Aww ^.^ , lol brb im a go take a nap.',yes
'I DIDNT KNOW THE ROBBERS VIDEO CAME OUT BRB',yes
'brb mules RT @synergism_Ent  SHINee WORLD TOUR 3 Live In Jakarta! For more info coming soon :) http://t.co/ifmJdpLhBn',yes
'ok I\'ll brb',yes
'Setting my internet on fire brb',yes
'Brb man I\'m hungry',yes
'GETTING NEW MUSIC BRB also makes me laugh bc people at school would never expect me to listen to this 😈 http://t.co/s6nIaCf5lm',yes
'@ScHoolBoyQ man, u got me, make me realize I\'m lame af. Brb I\'m gonna down some bleach',yes
'Brb crying.',yes
'my eyes are burning brb gonna hide in the basement',yes
'About to take a shower brb',yes
'brb getting ready',yes
'brb shower',yes
'Im heading to digifest to meet matt brb😳 jk 1hour by train😩 @TheMattEspinosa',yes
'I DIDN\'T KNOW JUSTIN FOLLOWED 5SOS !!!!!!!!!!!!!!! #whyamithelastatfindingoutanything brb',yes
'@whatupmia @whatupcal brb crying bc this is perfect',yes
'k I have 10 minutes to shower brb',yes
'gotta brush my teeth now brb',yes
'@hugsconnorball I\'m just gonna go slam my face into a car door brb',yes
'BRB CRYING ASHDJDJKSKS http://t.co/t9xniyXrek',yes
'Brb study ;p',yes
'@EmergencyPugs: Who ate my cupcake? :( http://t.co/v8vFyOLoj8 brb drowning in adorable',yes
'Brb having emotions cannot breathe bye http://t.co/es1N9OeBQD',yes
'The mcfly 10 year anniversary concert ended with the crowd singing happy birthday brb crying',yes
'Brb getting in the pool bc it\'s hotter than me outchea. �?💋�? http://t.co/7JPs4L6n2T',yes
'// BRB real quick!',yes
'Brb ..',yes
'brb shower 🚿',yes
'brb locking myself in the freezer',yes
'DO U REMEMBER WHEN LIRRY LOOKED 12 BRB CRYING http://t.co/NEAs30fxdm',yes
'brb, just witnessing the serious heat that @HankFortener is bring at @MosaicLA this morning 🔥',yes
'@TinyMathieu hang on! don\'t move! I\'ll be right back. Just. One second. brb.',yes
'Don\'t take it personally if I say brb and never come back, I do it to everybody. Not just you, sweetheart.♡',yes
'aMI REALLY THAT AWESOME? http://t.co/s0DNbNrKgW',no
'@deus_speravi I\'ll have to wait shwaya .. therefore I\'ll do my research brb',yes
'Okay brb @PrinceRoyce #PrinceRoyceTo3M',yes
'brb applying to cobb rn so i can start working tomorrow so i can have hookups for tuesday.',yes
'“@Ericase33: @hashtagmaggie brb while I grab a Kleenex :(�? @Puffs in P&amp;G world ;). Love you',yes
'Felt like I was on MSN last night me: What\'s up? Her: nothing. Hahaha like fuck what do say!? #BRB #Facebookchat',yes
'brb changing to misticswift',yes
'Graduated today 😭 brb bawling.',yes
'Sometimes women really confuse the shit out of me...If ur texting someone and don\'t say gtg or brb and suddenly stop its really annoying!!!!',yes
'Haven\'t talked to tara all weekend, brb crying😭',yes
'Ok unfollow spree brb',yes
'@WhatLaysBxneath ok:D hopee my phone doesn\'t die... Brb you shall hear me:p',yes
'“@Liamswhore: brb while I go jump off a cliff http://t.co/fF0gg6wJRs�? TEARS',yes
'@hashtagmaggie brb while I grab a Kleenex :(',yes
'Brb ; ii going on her Tl c:',yes
'Brb bussing to bunker',yes
'Brb! ☺',yes
'@CheeksAndChong I just feel bad I say brb and disapere for days',yes
'i\'ll eat lol brb~',yes
'Wehn corey say brb .. He mins ttyt /:',yes
'Brb ^.^',yes
'going to go kill ducks w Kery brb http://t.co/QU8EEECsMw',yes
'@Rollin_Sour453 why did your g2g get canceled?',yes
'IT WAS SO GOOD BRB DYING http://t.co/L25RM8ktRK',yes
'g2g on a sunday ? 😂😂😂😂😂😂😂😴',yes
'@GodsHooper_14: @Shanija_Chatman Thank you! #G2G. No problem. ',yes
'@Shanija_Chatman Thank you! #G2G.',yes
'“@Johnson3Kailah: G2G at 112 Warren St 🎊🎉�? on a sunday get a stick! 😴',yes
'Congrats to @GodsHooper_14 for signing off w/ SCSU!! I know you\'re gonna do big things &amp; make it very far. Thumbs up to you. #G2G �?��??�?�',yes
'@IAmInvalid check out &gt;&gt;http://t.co/CBlCmTeh2t &amp; http://t.co/QUtaubtgdh for online movie streaming.For football matches....',no
'Thanks I\'m ok too :P What are u doing? :) — g2g http://t.co/5YHDBUVltU',yes
'Church starting g2g:(',yes
'you know in not in a good mood when I say i g2g. cuz I never actually have to go...',yes
'@G2G_aMnezia &amp; @G2G_eSport thank\'s for follow guy\'s &lt;3',yes
'@KitanaPrincess1 hey sis I g2g my writer has to help with a party',yes
'@666calumhood like totally I\'m Roxanne and u r ?? lmao lol kkk g2g k!!!!',yes
'gonna go sleep bye bye ttyl g2g brb tata see you later alligator bye ok',yes
'@TeaganOkeeffe wishing you and your family all the best for your new venture. you guys will be missed.',no
'@arilildreamer lol g2g or else Ema will eat my breakfast and I don\'t wanna go to beach without eating!',yes
'@therealSindelMK hey mom I g2g my writer has to help with a party',yes
'Congrats @GodsHooper_14 🙌🎉🎊😊�?� #G2G �?�?�',yes
'G2g at my crib lol',yes
'@_NicoleKA you\'re bad 😂😂😂😂 lol girl bye. That\'s him not me. G2g',yes
'@dgwehby We need to be following each other in order for me to send you a direct message. Could you send a note to gottley@g2gamericas.com?',yes
'@DeFutKing can you take my tb man? You can collect coins from G2G when he is on?',yes
'Return to the @the_Globe, by @CatherineLove21. @FuSO @ErnestoAriasG http://t.co/QMXVpk9OAj #G2G #Theatre #Shakespeare #Lope',yes
'@JafryYousef @Tjmen1297 @tinatellone g2g pray for now ✌�?',yes
'I g2g #stoned #smallvinerswinning https://t.co/N7q36uYQkg',yes
'someone on fb just messaged me telling me I look like a lady but they betted I\'m a freak behind closed doors. Uh lol g2g',yes
'@Lobby442 we use Bunny Movie streamed through Safari. Just username and password needed. Or Cartoon HD. Or G2G (glowgaze) - Google them.',yes
'I g2g...have a great day!',yes
'@Andy_Teflon_Don aaaaaaaaahhhhhh,g2g to dey',yes
'hw u doin luv Uhm.. Actually I was better before we started chatting. #sorrybye #g2g #dclmp :\')',yes
'i g2g now, sorry for not being on for to long, ill see ya tomorrow :) have a awesome one :)',yes
'g2g goodbye',yes
'@G2G_Gavin please send me a direct message.  Thanks.',yes
'driving lesson mamaya g2g',yes
'This headache has g2g',yes
'She Said Like G2G Plus 3 More G\'s',yes
'Yo these allergies g2g',yes
'@maheennnnn @AdelRannoon @enrique305 ♥♥♥♥ g2g see yaa i swear i got online 4 u my frnd has wifi but we must go now:/ to see how much i lov u',yes
'Check out my new record Thinking About Your Body Ft. @shunhendrix  http://t.co/rUc1G3yeik #DGE #GRANDHUSTLE #VEMOMEDIA #G2G',yes
'This pollen has g2g stat',yes
'@itsKruzer @TheRocketDaddy @ImExodusXBL @0BeefYT aight I\'ll see if I can. I g2g I\'ll ttyl',yes
'@dgwehby Don, would you be interested in a Caribbean investment opportunity with a global retail brand in the office supplies space?',no
'Well i g2g to church brb in an hour',yes
'Hello this is my baby. Is it cute?? ;u; G\'nite guys 😘😘 i g2g now. See yall soon. Hv a sweet dream 😘�? -K- http://t.co/MZoJUPsw3C',yes
'This hangover has g2g',yes
'this cold has g2g 😷🙅',yes
'AM OFF.....G2G',yes
'@G2gfifa @FUT_Matt :P haha, he isn\'t on atm and I g2g out soon :\'( I want to get my coins now haha i\'m so impatient',yes
'@jdbibblex @arianalover4evs @chloeasling @grandebiebertho @latifa_shah g2g byee ily all xx',yes
'&amp;&amp; some of these text convos has g2g !',yes
'Music: we have youtube for that sports: we have a wii spanish: we have dora for that english: everything is all shortened anyway brb g2g ikr',yes
'@avonsbelieb I actually g2g.. Bye',yes
'why do I find old men so hot g2g',yes
'this new snapchat has g2g',yes
'G2g to two bday\'s',yes
'Yess 😊 and g2g ttyl  http://t.co/lu0yTpwLqB',yes
'Yess 😊 and g2g ttyl  http://t.co/Cm18U4OHKf',yes
'@OTB_G2G lmao ii',yes
'@LambsharkFifa Just buy this please, g2g soon, team is Braga http://t.co/0tQ7gNiKqi',yes
'@OTB_G2G don\'t tease me wit yur blunts fam. Yur dissin.',yes
'@OTB_G2G mans have kush, fawad to my crib in like a hour.',yes
'Can\'t wait to see all of y\'all this morning!!:) #G2G',yes
'Justin looked sooo good last night g2g',yes
'@Redfairy6666 G2g now sis! Talk to u in abut!!!',yes
'G2g see ya tomorrow guys. Have a great night and don\'t sleep late. Love y\'all!',yes
'Msn days were the ones #g2g #brb #wuu2',yes
'wait ppl still say g2g??',yes
'@G2gfifa Yo G2G! Got a bet quick I need placing, you online?!',yes
'First game kicks off in ten mins',?
'The Globe\'s Hamlet: wonderful, imaginative, moving production with a spirited company! @The_Globe @WorldHamlet #G2G http://t.co/oZvIqvOF5a',yes
'uuuugghhh im soo tired i think g2g',yes
'Still marveling at the wonderful theatre evening last night when Hamlet returned to Wittenberg. @WorldHamlet #G2G http://t.co/5YbWXxjrlo',yes
'Keeping the @teamlapierre flying at Giba with @G2G_BikeRepairs @antvanas . http://t.co/MtpBmToUA3',yes
'okay well fml I g2g finish my homework byeeee x',yes
'Lunch on the lake 👌',no
'My butt fell asleep on the toilet because I was checking Instagram.. And now twitter �?',no
'CAN YOU PLEASE FOLLOW @__Emily94__ AND @sowrongitsevie IT WOULD MEAN SO MUCH THANK YOU ILY! @BrentRivera 45',no
'@LiveNation In August, I\'ll be going from Jax to Nashville for @onedirection',no
'Ew. Saggy boobs freak me out.',no
'I can dish it out, but I can\'t take it',no
'That welcome to ZTA formal picture I posted has me dying. #stopwhitepeople2014',no
'�?�🌷 You\'re still obsessed with elephants?! Lmao you should do my nails one day! You know make my fingernails look all purrtty 😊',yes
'@hftdelevingne @Harry_Styles what do u think ur opinion is really the only that matters',no
'Super proud mom moment!!! Congrats on graduating @HootchieMama03 💕can\'t wait to see the big things you do in the future. Xoxo love you',no
'#NP Paul George @mazaradi_rondoe @RandemWORD on @iM258Radio @258Radio @258MafiaRadio http://t.co/GSTxdx8wCz',no
'The shit we all do for EACHOTHER tho',no
'@torrrrance hahaha denalis face is so good',no
'Make him stop https://t.co/tj0vgm1XHU',no
'I wanna get away from everything for a few days. just me &amp; Hayden.',no
'Change Your Life - Iggy Ft T.I #queen https://t.co/slmk7BmIvS',no
'@SorasBot  I have no idea what you are talking about!',no
'Just had a 25min argument with a guy who couldn\'t believe I\'m white and African. Had to show him my passport eventually! #Israel #ProudlySA',no
'UM READY TO GET MI NAILS N SHIT DONE BUT UMA WAIT �?',no
'@mafriaa I love them still far or not �?��?',no
'Don\'t stop',no
'Come visit da worm niggas were here 12-3 😅 http://t.co/qZhwlcA9r8',no
'CAN YOU PLEASE FOLLOW @__Emily94__ AND @sowrongitsevie IT WOULD MEAN SO MUCH THANK YOU ILY! @BrentRivera 45',no
'Good morning 😘😘 @_HeCanCareLess http://t.co/ZcsPHYBOhM',no
'Experience makes more timid men than it does wise ones.  -Josh Billings',no
'https://t.co/Qo5PgEP4oJ  Trop bonne video pour bodybuilding mais Workout Aussi #motivation',no
'I\'m listening to It\'s Not Over by Daughtry on Pandora  #pandora',no
'I know what I don\'t want to do tomorrow',no
'Kluber ya know just breaking a Bob Feller record.',no
'@TandonRaveena love u so much',no
'@justinbieber why can\'t I be the lucky girl you notice? After all it has been 4 years ,please Justin follow me:(905',no
'@JaredLeto Thanks, Lesbian Jesus!',no
'Girls are too confusing..',no
'*Muhuliire*.... What does it mean btw #TweetHelp',no
'The monsters are killing it with these outfits!',no
'@Mister_Pierce watch out! A paw slap can be dangerous! I know this from experience. Ha!',no
'@Angerina_ if I see it for sale anywhere I\'ll let you know! :3',no
'Watching Horrible Histories en francais with my sister - vive la revolution!',no
'@jaibrooks follow me and @acmftari please x35',no
'Writing a Letter to Increase Credit Card Limit (with Sample) http://t.co/GJZUl95R18',no
'@lnspirePics: Highest IQ in the World. http://t.co/S3KnRV1koJ good God',no
'LeBron has his own app? I hate him so much, his ego is a lil out of hand',no
'I always liked getting lunch with her. Even at the places that only served weird salads.',no
'100lb puppy + 6\'5 human = gimme some room guys. �?�?� http://t.co/2ufGloF4x2',no
'@lexaaaa_xo thank yewww !',no
'#MainstreamMusic today check out the mans @_TaylorBennett  he been grindin',no
'Fishing this evening �?��?��?�',no
'@emmareid1331 it was good but it was a WHOLE new level of messed-up i\'m still stunned',no
'There\'s always something in between the lines http://t.co/2LZklgpcCD',no
'@zupthesky  fback done ;)  Thanks for your follow',no
'@justinbieber Follow me please. #Brasilieber 17x',no
'There comes a day when we all find out for ourselves 🌇 http://t.co/GuQzHGVVHn',no
'Just a ... http://t.co/8xxBWfMAQ2 #HotNude #BigBoobs #Hotselfie #Selfie #Selfshot #ShavedPussy http://t.co/mmtWru2E23',no
'I don\'t even bother going to sleep anymore. #InternationalFansHaveItTough',no
'I\'m excited for Prom! 💃',no
'@IPL IPL only one player is enough to change the game and so is the A B',no
'@diannassalling your ovaries couldnt handle this',no
'Gorgeous day! Headed to #CincodeMimosa brunch! #CincodeDrinko Party today... Work tomorrow😕 @ East… http://t.co/LAvbIBrMWh',no
'@Quinn_A_Hall I\'m not exactly sure how to take this #whatdidido',no
'Sunday Afternoon Discussion! What is your favorite piece of exercise equipment and why you love it? Here at... http://t.co/dte6CHYnLm',no
'@taylorcaniff please follow @wherescaniff , tomorrow is her bday and I think she deserves it, PLEASE TAYLOR #TaylorFollowBianca x101',no
':-) :-) :-) :-) :-) :-) :-) @Luke5SOS Luke Hemmings from 5sos please follow me and make my life x323:-) :-) :-) :-) :-) :-) :-)',no
'One Love to all nations.....',no
'@bellathorne OMG! BELLA YOU ARE SO BEAUTIFUL! AND WHEN I SAW YOUR NEW PHOTO I LOOK LIKE THAT! �? x22 http://t.co/1eHk0ajgrE',yes
'OMG mason is my bae forever I love him so much. Can I please have him as a bestfriend? #younow #masonnation http://t.co/3GEMF70cKl',yes
'@lexxxihh omg I was doing that earlier 😂',yes
'“@theslickbieber: “@justinplusari: @justinbieber I LOVE YOU MY QUEEN�? 👀�? OMG IT WAS KING',yes
'@volcaniall he performed at my school last year omg',yes
'Cannot believe this omg',yes
'Omg that kid is cute 😩�?',yes
'OMG IM NOT OK😭😭😭http://t.co/iAWpGKNPYi',yes
'redmcveyy // I\'m in love with your header omg😊 your so pretty and I love your acc💖',yes
'@peratran123 SAME OMG',yes
'@JeffreyAdamGutt How are your son? He\'s so cuuuuuute omg!',yes
'Omg yes!“@baddiee_: I\'m probably the most motherly girlfriend ever. I wanna know if he ate, got enough sleep, how was school, all thatt idc',yes
'omg for a moment I thought normani followed me but she didn\'t I\'m going to cry',yes
'Sunday morning work out 😂😂😂💪 #omg #lol #thiswasreal #redhairdontcare #newbelgium #beer #iworkout… http://t.co/7rOo9EKLKX',yes
'For breakfast lunch and dinner since mi cara wants to break out omg 😩',yes
'@nuteIla: I cANT STOP WATCHING THIS OMG 😂😂 https://t.co/jYXWeNBKa5',yes
'@taramassicotte OMG LOVE YOU MORE THAN STARBUCKS AND UNICORNS MY HEART HURT',yes
'OMG, did you try #WhatsTheDifference yet? http://t.co/a8x0ozeTVC http://t.co/Jzs5GniwW8',yes
'@dvazquez15 omg....i hate you',yes
'@NSecaduras OMG!!! ♫ Where The Streets Have No Name - Unplugged – Thirty Seconds To Mars http://t.co/e0PWLtpuZW #NowPlaying',yes
'4 MUSIC NOW NOW NOW OMG',yes
'@arixnadallxs yaaaay omg :D thanks',yes
'this tan line omg same http://t.co/6dP9mljaS9',yes
'@des_uh_rayy , omg that\'s really good . I\'m so happy for you , but just let me know now hunn 😩',yes
'@JaiBrooks1 go on facebook omg we needs to interact with u',yes
'I used to hate Jaime. But now I love him. And his relationship with Brienne mak... — finally someone else omg, same http://t.co/dJGqXWeehw',yes
'OMG, I\'m on Level 72 of #WhatsTheDifference! http://t.co/rKUkgUhzFZ http://t.co/Vm4T9Koq5z',yes
'@coastalespinosa omg thank you soooooo much IlYsm http://t.co/hDj0ibmi3y',yes
'DiazHello // your header is so hot omg',yes
'@kidrauhlwish i have no idea what that tweet said but aren\'t you seeing Demi soon omg🙊🙊',yes
'@FIJIWater OMG yes! This has changed everything',yes
'@elgortology OMG OK THATS TOTALLY MY DAD',yes
'BACK FLIP OMG OMGOGM',yes
'I want the best and nothing but the best !',no
'THATS NOT A FOUL WHERES THE FOUL OMG',yes
'@WhatLaysBxneath OMG JUST FREAKEN KISS HIM KAY!! http://t.co/lTLYvY5cFA',yes
'“@hemminqs: such a good singer omg &lt;3333 he saved my life http://t.co/XNk4qCLaBZ�? without louis you probably wouldn\'t even know 5sos lol',yes
'omg shut up instead of telling me we\'re leaving two hours ealier they send me a text message.',yes
'HE PERFORMED COLLIDE BY JAKE MILLER OMG MATT I WASNT PREPARED YOU WERE AMAZING ANAAMAKKA@TheMattEspinosa',yes
'OMG THIS IS SO MUCH BETTER THAN MASTURBATING',yes
'@beyonseh: This is so freaky omg http://t.co/pqWt6JDNbJ BLOCKED N REPORTED',yes
'omg that girl looks just like Britt..😳',yes
'ARTRAVE OMG GAGA IM HAVING A ORGASM YOU\'RE SO PERFECT I LOVE YOU COME TO BRASIL !!!-@:2-NFKVJSH__\%7\':2!@\%_4 @LADYGAGA',yes
'@justinbieber OMG Hi babe i miss you',yes
'@Wienerdogsmom @micjul94 @bealibowsky @kodam13 @Natalee_6126 omg lol',yes
'I FUCKING SAW MATT AGAIN IM BAWLING OMG OMG LMG',yes
'OMG I CAN TEXT FROM MY COMPUTER TOO',yes
'@bby_laurenn @cperrone924 @ssyla_walters OMG I tell you guys one thing lol!😑😑😭😭😂😂',yes
'“@emily_ashton22: This girl &gt;&gt;&gt; http://t.co/XKi8yNwdJD�? OMG Emily! I\'m so confused??? Whaaaa!?! This you? Lol',yes
'@abisaacson omg no you\'ll jinx me',yes
'Omg. That was so good',yes
'Me: OMG Sasha&amp;sarah: what?? Me: miley just posted a picture!!!',yes
'@Tess omg I can\'t find it now!! but was some random angry person, I just remember it ended with no wonder he doesn\'t have a girlfriend',yes
'IMAGINE!! RT @sadydakewl: Did y\'all just hear that? Omg I\'m done! #PresidentialMediaChat',yes
'is my face that bad? i mean i know i have a chronic bitch face and that i don\'t smile and all but omg even the dentist thought i was angry',yes
'OMG it\'s true it\'s legit',yes
'i did this in art omg half is dan smith and half is christian novelli (i havent finished dans quiff o)) 😂😂 http://t.co/RJzPq10InP',yes
'OMG I just used 3 fingers to fave 3 separate tweets AT THE SAME TIME I AM SO HAPPY',yes
'OMG can\'t even concentrate on dis txt.',yes
'When this girl message me Omg your  pretty now!!! Um Thanks i guess',yes
'OMG WHAT #otp #troylerkiss http://t.co/3dmM6SWRyc',yes
'“@famemoneygirls: HEARTBREAK GIRL IS PLAYING IN THE MALL I CANT BREATHE IM DANCING�? OMG',yes
'OMG playing qualies in Raleigh $25K today is none other than Ana Paula Neffa De Los Rios - daughter of our old pal Rosanna! cc @jon_wertheim',yes
'@StayyyyWithMe OMG DONT REMIND ME 🙈🙈',yes
'yeah end of June would be great! xxxxxxx',?
'@AaliyahLove69 Omg Anderson Cooper was JUST talking about this',yes
'@Bitch_L0ve omg need in my life😻😻😻😻😻',yes
'You\'re very cute :) — omg thanks :) http://t.co/ACQ8dKlHS9',yes
'we feel like nightclub kings! *-*',no
'@yaaassssssss wats for brunch',no
'@rocksij @OElika @amylala28 sounds perfect!! I\'m in! We need to spread the word! During the ep is better??',no
'lets see hw well u knw me',no
'@overthehood you seem to love the hate',no
'Tulips are so pretty! 🌷�?',no
'@Brad_Attitude maaaa tears dry on their own. much catchy. very sass. such vocal',no
'Keith urban I hate you',no
'“@__text_: It�s so cute when you talk to someone a lot and you notice your phrases slowly slipping into their vocabulary�? @sinno_r',no
'Game thread: Mariners at Astros -- May 4, 2014 http://t.co/UuL0BhSjxE',no
'can\'t wait to go see We Will Rock You on the 28th🙌',no
'Well that frustrates me.',no
'@TTLYTEALA please follow @ArianaBrilliant 5',no
'@codyjam00477700 stupid face💕',no
'I need to go do laundry and stuff... but I seem to be stuck to the couch....',no
'I just wanna be taken out to eat😩😩😩😩�?👸',no
'cockroach everywhere! 👊😂',no
'one person followed me // automatically checked by http://t.co/Ls0104hzX0',no
'@ashleyjizzzdale YOU CANNOT DO THIS!!!!!!!!! PLS',no
'I hope that we can call tomorrow, #RevengeOfThe5th',no
'@CitySquatch @EllyFontArt maybe the Green Goblin lives OTP?',no
'Yeah mannnnn let\'s goooooo! Money and hoes! #gangbang #wiz',no
'ARE YOU FUCKING KIDDING ME THERE WAS NO FOUL YOU INCOMPETENT ASS REF #Raptors',no
'I\'ve gathered 4 Scrolls! Can you do better? Download to find it out! http://t.co/VW6XwBfcbZ #iphone,#iphonegames,#gameinsight',no
'Reign of Dragons iOS/Android #ReignD http://t.co/IyQHaDEgww http://t.co/GHIBFkDHrx http://t.co/aYjk0HklXI',no
'half the gang has black and white accounts',no
'You Me At Six // The Swarm 🙌',no
'@AlexaKnoble dissapointed you didn\'t get a prom picture with Regis...',no
'#sunglasses #glasses #style http://t.co/yUXhMzJ01l GUCCI Mens Luxury Aviator Executive Designer Sunglasses GG 2... http://t.co/dq9EjaRKSK',no
'@4golfonline played in the adult/junior foursomes and got a two and 41 points',no
'Watching love &amp;‘ hip hop atl on demand 😊📺',no
'happy birthday @beccakholos 😹😹😹�?��?☺�?🎊 http://t.co/dS006UfZK7',no
'Today stats: One follower, No unfollowers via http://t.co/r8BiG5dgQC',no
'@Mr__Fail Metal Gear Solid 7 holes of the patriots.',no
'peter and wendy ;________;',no
'@CardiffTeaCup isn\'t it great. This is a regular, he also apprehended a would be shop lifter on this visit! #hero',no
#climaderby,no
'#livetweet bc not fast Sunday �? http://t.co/MRwyrj47UP',no
'$HYT Berkshire Solidly on Track http://t.co/jBEBlrC9pG',no
'@bespokesport @desnewts1 @MickDennisReal Erm no, it wasn\'t him that mentioned irony. #MustPayAttention',no
'@Kili_Disson Smaug raised me.....lovingly....But...Yeah, run away, coward! Like the rest of your cowardly race! *she grabbed a stone, ---',no
'All y\'all bitches is THOTTY RT Honestly',no
'Terrorism started in Pakistan almost 10 years before it started in Nigeria, GEJ. #presmediachat',no
